Email No.,sent,received,reply,important,spam,draft,sender,Prediction
Email 123,0,0,0,0,0,0,0,0
Email 124,0,0,0,0,0,0,0,0
Email 125,0,0,0,0,0,0,0,0
Email 126,0,0,0,0,0,0,0,0
Email 127,0,0,0,0,0,0,0,0
Email 128,0,0,0,0,0,0,0,0
Email 129,0,0,0,0,0,0,0,0
Email 130,0,0,0,0,0,0,0,1
Email 131,0,0,0,0,0,0,0,1
Email 132,0,0,0,0,0,0,0,0
Email 133,0,0,0,0,0,0,0,0
Email 134,0,0,0,0,0,0,0,1
Email 135,0,0,0,0,0,0,0,1
Email 136,0,0,0,0,0,0,0,0
Email 137,0,0,0,0,0,0,0,0
Email 138,0,0,0,0,0,0,0,0
Email 139,0,0,0,0,0,0,0,0
Email 140,0,0,0,0,0,0,0,0
Email 141,1,0,0,0,0,0,0,0
Email 142,0,0,0,0,0,0,0,0
Email 143,0,0,0,0,0,0,0,0
Email 144,2,0,0,0,0,0,0,0
Email 145,0,0,0,0,0,0,0,0
Email 146,0,0,0,0,0,0,0,0
Email 147,0,0,0,0,0,1,0,1
Email 148,0,0,0,0,0,0,0,0
Email 149,0,0,0,0,0,0,0,1
Email 150,0,0,0,1,1,0,0,1
Email 151,0,0,0,0,0,0,0,0
Email 152,0,0,0,0,0,0,0,0
Email 153,0,0,0,0,0,0,0,1
Email 154,0,0,0,0,0,0,0,0
Email 155,0,0,0,0,0,0,0,0
Email 156,0,0,0,0,0,0,0,0
Email 157,0,0,0,0,0,0,0,0
Email 158,0,0,0,0,0,0,0,0
Email 159,1,0,0,0,0,0,0,1
Email 160,0,0,0,0,0,0,0,1
Email 161,0,0,0,0,0,0,0,0
Email 162,0,0,0,0,0,0,0,0
Email 163,0,0,0,0,0,0,0,0
Email 164,0,0,0,0,0,0,0,0
Email 165,0,1,0,0,0,0,0,0
Email 166,0,0,0,0,0,0,0,0
Email 167,0,0,0,0,0,0,0,1
Email 168,0,0,0,0,0,0,0,1
Email 169,0,0,0,0,0,0,0,0
Email 170,0,0,0,0,0,0,0,1
Email 171,1,0,0,0,0,0,0,0
Email 172,0,0,0,0,0,0,0,0
Email 173,0,0,0,0,0,0,0,1
Email 174,0,0,0,0,0,0,0,1
Email 175,1,0,0,0,0,0,0,0
Email 176,1,0,1,0,0,0,0,1
Email 177,0,0,0,0,0,0,0,0
Email 178,0,0,1,0,0,0,0,0
Email 179,1,1,0,0,0,0,0,0
Email 180,1,0,0,0,0,0,0,0
Email 181,0,0,0,0,0,0,0,0
Email 182,0,0,0,0,0,0,0,0
Email 183,0,0,0,0,0,0,0,0
Email 184,0,0,0,0,0,0,0,1
Email 185,0,0,0,0,0,0,0,0
Email 186,1,0,0,0,0,0,0,0
Email 187,0,0,0,0,0,0,0,0
Email 188,0,0,0,0,0,0,0,0
Email 189,0,0,0,0,0,0,0,1
Email 190,0,0,0,0,0,0,0,0
Email 191,0,0,0,0,0,0,0,1
Email 192,1,1,0,0,0,0,0,1
Email 193,0,0,0,0,0,0,0,0
Email 194,0,0,0,0,0,0,0,0
Email 195,0,0,0,0,0,0,0,1
Email 196,0,0,0,0,0,0,0,0
Email 197,0,0,0,0,0,0,0,1
Email 198,0,0,0,0,0,0,0,0
Email 199,0,0,0,0,0,0,0,1
Email 200,0,0,0,0,0,0,0,0
Email 201,0,0,0,0,0,0,0,0
Email 202,0,0,0,0,0,0,0,1
Email 203,0,0,0,0,0,0,0,0
Email 204,0,0,0,0,0,0,0,1
Email 205,0,0,0,0,0,0,0,0
Email 206,0,1,0,0,0,0,0,0
Email 207,0,0,0,0,0,0,0,0
Email 208,0,0,0,0,0,0,0,0
Email 209,0,0,0,0,0,0,0,1
Email 210,0,0,0,0,0,0,0,0
Email 211,0,0,0,0,0,0,0,0
Email 212,0,0,0,0,0,0,0,0
Email 213,0,1,0,0,0,0,0,0
Email 214,0,0,0,0,0,0,0,1
Email 215,0,0,0,0,0,0,0,0
Email 216,0,0,0,0,0,0,0,1
Email 217,0,0,0,0,0,0,0,0
Email 218,0,0,0,0,0,0,0,0
Email 219,0,0,0,0,0,0,0,0
Email 220,0,0,0,0,0,0,0,0
Email 221,0,0,0,0,0,0,0,0
Email 222,0,0,0,0,0,0,0,0
Email 223,0,0,0,0,0,0,0,0
Email 224,0,0,0,0,0,0,0,0
Email 225,0,0,0,0,0,0,0,0
Email 226,0,1,0,0,0,1,0,0
Email 227,0,0,0,0,0,0,0,0
Email 228,0,0,0,0,0,0,0,1
Email 229,0,0,0,0,0,0,0,0
Email 230,1,0,0,0,0,0,0,0
Email 231,0,0,0,0,0,0,0,0
Email 232,0,0,0,0,0,0,0,0
Email 233,0,0,0,0,0,0,0,1
Email 234,0,0,0,0,0,0,0,0
Email 235,0,0,0,0,0,0,0,0
Email 236,3,0,2,0,0,0,0,1
Email 237,0,0,0,0,0,0,0,0
Email 238,0,0,0,0,0,0,0,1
Email 239,0,0,0,0,0,0,0,0
Email 240,0,0,0,0,0,0,0,0
Email 241,0,0,0,0,0,0,0,0
Email 242,0,0,0,0,0,0,0,0
Email 243,0,0,0,0,0,0,0,0
Email 244,0,0,0,0,0,0,0,0
Email 245,2,0,0,0,0,0,0,0
Email 246,2,0,0,0,0,0,0,0
Email 247,0,0,0,0,0,0,0,0
Email 248,1,0,0,1,0,0,0,1
Email 249,0,0,0,0,0,0,0,0
Email 250,0,0,0,0,0,0,0,1
Email 251,0,0,0,0,0,0,0,0
Email 252,0,0,0,0,0,0,0,0
Email 253,0,0,0,0,0,0,0,0
Email 254,0,0,0,0,0,0,0,0
Email 255,0,0,0,0,0,0,0,0
Email 256,0,0,0,0,0,0,0,1
Email 257,0,0,0,0,0,0,0,0
Email 258,0,0,0,0,0,0,0,0
Email 259,0,0,0,0,0,0,0,0
Email 260,0,0,0,0,0,0,0,1
Email 261,0,0,0,0,0,0,0,0
Email 262,0,0,0,0,0,0,0,0
Email 263,0,0,0,0,0,0,0,0
Email 264,0,0,0,0,0,0,0,1
Email 265,0,0,0,0,0,0,0,0
Email 266,0,0,0,0,0,0,0,1
Email 267,0,0,0,0,0,0,0,0
Email 268,0,0,0,0,0,0,0,0
Email 269,0,0,0,0,0,0,0,0
Email 270,1,1,0,0,0,0,0,0
Email 271,0,0,0,0,0,0,0,0
Email 272,0,0,0,0,0,0,0,0
Email 273,0,0,0,0,0,0,0,0
Email 274,0,0,0,0,0,0,0,0
Email 275,0,0,0,0,0,0,0,0
Email 276,0,0,0,0,0,0,0,0
Email 277,0,0,0,0,0,0,0,1
Email 278,0,0,0,0,0,0,0,0
Email 279,0,0,0,0,0,0,0,0
Email 280,0,0,0,0,0,0,0,0
Email 281,0,0,0,0,0,0,0,0
Email 282,0,0,0,0,0,0,0,1
Email 283,0,0,0,0,0,0,0,0
Email 284,0,0,0,0,0,0,0,0
Email 285,0,0,0,0,0,0,0,0
Email 286,1,0,0,0,0,0,0,0
Email 287,0,0,0,0,0,0,0,0
Email 288,0,0,0,0,0,0,0,0
Email 289,0,0,0,0,0,0,0,1
Email 290,1,1,0,0,0,0,0,1
Email 291,0,0,0,0,0,0,0,0
Email 292,0,0,0,0,0,0,0,0
Email 293,0,0,0,0,0,0,0,0
Email 294,0,0,0,0,0,0,0,0
Email 295,1,0,0,0,0,0,0,0
Email 296,0,0,0,0,0,0,0,0
Email 297,0,0,0,0,0,0,0,0
Email 298,0,0,0,0,0,0,0,1
Email 299,1,0,0,0,0,0,0,0
Email 300,0,0,0,0,0,0,0,0
Email 301,0,0,0,0,0,0,0,0
Email 302,0,0,0,0,0,0,0,0
Email 303,0,0,0,0,0,0,0,1
Email 304,0,0,0,0,0,0,0,0
Email 305,0,0,0,0,0,0,0,0
Email 306,0,0,0,0,0,0,0,0
Email 307,1,0,0,0,0,0,0,1
Email 308,0,0,0,0,0,0,0,1
Email 309,4,0,0,0,0,0,0,0
Email 310,0,0,0,0,0,0,0,0
Email 311,0,0,0,0,0,0,0,0
Email 312,0,0,0,0,0,0,0,1
Email 313,0,0,0,0,0,0,0,0
Email 314,0,0,0,0,0,0,0,0
Email 315,0,0,0,0,0,0,0,0
Email 316,1,0,0,0,0,0,0,0
Email 317,0,0,0,0,0,0,0,0
Email 318,0,0,0,0,0,0,0,0
Email 319,0,0,0,0,0,0,0,0
Email 320,0,0,0,0,0,0,0,0
Email 321,2,0,1,0,0,0,1,0
Email 322,0,0,0,0,0,0,0,0
Email 323,0,0,0,0,0,0,0,1
Email 324,1,1,0,0,0,0,0,1
Email 325,0,0,0,0,0,0,0,1
Email 326,0,0,0,0,0,0,0,0
Email 327,0,0,0,0,0,0,0,1
Email 328,0,0,0,0,0,0,0,1
Email 329,0,0,0,0,0,0,0,0
Email 330,0,0,0,0,0,0,0,0
Email 331,1,0,0,0,0,0,0,0
Email 332,0,0,0,0,0,0,0,1
Email 333,1,0,0,0,0,0,0,0
Email 334,0,0,0,0,0,0,0,1
Email 335,0,0,0,0,0,0,0,0
Email 336,1,0,0,0,0,0,0,0
Email 337,0,0,0,0,0,0,0,1
Email 338,0,0,0,0,0,0,0,0
Email 339,0,0,0,0,0,0,0,1
Email 340,0,0,0,0,0,0,0,0
Email 341,0,0,0,0,0,0,0,0
Email 342,0,0,0,0,0,0,0,1
Email 343,0,1,0,0,0,0,0,0
Email 344,1,0,0,0,0,0,0,0
Email 345,1,0,0,0,0,0,0,0
Email 346,1,0,0,0,0,0,0,0
Email 347,0,0,0,0,0,0,0,1
Email 348,0,0,0,0,0,0,0,0
Email 349,0,0,0,0,0,0,0,0
Email 350,0,0,0,0,0,0,0,0
Email 351,0,0,0,0,0,0,0,0
Email 352,0,0,0,0,0,0,0,1
Email 353,0,0,0,0,0,0,0,0
Email 354,0,0,0,0,0,0,0,0
Email 355,0,0,0,0,0,0,0,0
Email 356,0,0,0,0,0,0,0,0
Email 357,0,0,0,0,0,0,0,1
Email 358,0,0,0,0,0,0,0,0
Email 359,1,0,0,0,0,0,0,1
Email 360,0,0,0,0,0,0,0,0
Email 361,1,0,0,0,0,0,0,0
Email 362,0,0,0,0,0,0,0,0
Email 363,0,0,0,0,0,0,0,0
Email 364,0,0,0,0,0,0,0,1
Email 365,0,0,0,0,0,0,0,0
Email 366,0,0,0,0,0,0,0,0
Email 367,1,0,0,1,0,0,0,1
Email 368,0,0,0,0,0,0,0,0
Email 369,0,0,0,0,0,0,0,0
Email 370,0,0,0,0,0,0,0,0
Email 371,0,0,0,0,0,0,0,0
Email 372,0,0,0,0,0,0,0,0
Email 373,0,0,0,0,0,0,0,1
Email 374,0,0,0,0,0,0,0,0
Email 375,1,0,0,0,0,0,0,0
Email 376,0,0,0,0,0,0,0,0
Email 377,0,0,0,0,0,0,0,1
Email 378,1,0,0,0,0,0,0,1
Email 379,0,0,0,0,0,0,0,0
Email 380,0,0,0,0,0,0,0,0
Email 381,0,0,0,0,0,0,0,1
Email 382,0,0,0,0,0,0,0,0
Email 383,0,0,0,0,0,0,0,0
Email 384,0,0,0,0,0,0,0,0
Email 385,0,0,0,0,2,0,0,1
Email 386,0,0,0,0,0,0,0,0
Email 387,0,0,0,0,0,0,0,1
Email 388,0,0,0,0,0,0,0,0
Email 389,0,0,0,0,0,1,0,1
Email 390,1,0,0,0,0,0,0,0
Email 391,9,0,0,0,0,0,0,1
Email 392,0,0,0,0,1,0,0,1
Email 393,0,0,0,0,0,0,0,0
Email 394,0,1,0,0,0,0,0,0
Email 395,0,0,0,0,0,0,0,0
Email 396,0,0,0,0,0,0,0,1
Email 397,0,0,0,0,0,0,0,0
Email 398,0,0,0,0,0,0,0,1
Email 399,0,0,0,0,0,0,0,0
Email 400,0,0,0,0,0,0,0,0
Email 401,3,0,0,0,0,1,0,1
Email 402,0,0,0,0,0,0,0,0
Email 403,0,0,0,0,0,0,0,0
Email 404,0,0,0,0,0,0,0,0
Email 405,1,0,0,0,0,0,0,0
Email 406,0,0,0,0,0,0,0,0
Email 407,0,0,0,0,0,0,0,1
Email 408,0,0,0,0,0,0,0,0
Email 409,0,0,0,0,0,0,0,0
Email 410,2,0,0,0,0,0,0,0
Email 411,0,0,0,0,0,0,0,0
Email 412,1,1,1,2,0,0,0,0
Email 413,0,0,0,0,0,0,0,0
Email 414,0,0,0,0,0,0,0,0
Email 415,0,0,0,0,0,0,0,0
Email 416,0,0,0,0,0,0,0,0
Email 417,0,0,0,0,0,0,0,1
Email 418,0,0,0,0,0,0,0,0
Email 419,0,0,0,0,0,0,0,0
Email 420,0,0,0,0,0,0,0,0
Email 421,0,0,0,0,0,0,0,0
Email 422,0,0,0,0,0,0,0,0
Email 423,0,0,0,0,0,0,0,0
Email 424,0,0,0,0,0,0,0,1
Email 425,0,0,0,0,0,0,0,0
Email 426,0,0,0,0,0,0,0,0
Email 427,1,0,0,0,0,0,0,0
Email 428,0,0,0,0,0,0,0,0
Email 429,0,0,0,0,0,0,0,0
Email 430,0,0,0,0,0,0,0,0
Email 431,0,0,0,0,0,0,0,1
Email 432,0,0,0,0,0,0,0,1
Email 433,0,0,0,0,0,0,0,0
Email 434,0,0,0,0,0,0,0,1
Email 435,0,0,0,0,0,0,0,0
Email 436,0,0,0,0,0,0,0,0
Email 437,0,0,0,0,0,0,0,0
Email 438,0,0,0,0,0,0,0,1
Email 439,0,0,0,0,0,0,0,1
Email 440,1,0,0,0,0,0,0,0
Email 441,0,0,0,0,0,0,0,0
Email 442,0,0,0,0,0,0,0,0
Email 443,0,0,0,0,0,0,0,0
Email 444,0,0,0,0,0,0,0,0
Email 445,0,0,0,0,0,0,0,1
Email 446,0,0,0,0,0,0,0,0
Email 447,0,0,1,0,0,0,0,0
Email 448,0,0,0,0,0,0,0,0
Email 449,0,0,0,0,0,0,0,1
Email 450,0,0,0,0,0,0,0,0
Email 451,1,0,0,0,0,0,0,1
Email 452,0,0,0,0,0,0,0,0
Email 453,0,0,0,0,0,0,0,0
Email 454,0,0,0,0,0,0,0,1
Email 455,0,0,0,0,0,0,0,1
Email 456,0,0,0,1,0,0,0,0
Email 457,0,0,0,0,0,0,0,0
Email 458,0,0,0,0,0,0,0,0
Email 459,0,0,0,0,0,0,0,0
Email 460,0,0,0,0,0,0,0,0
Email 461,1,0,0,0,0,0,0,0
Email 462,0,1,0,0,0,0,0,1
Email 463,0,0,0,0,0,0,0,1
Email 464,0,0,1,0,0,0,0,0
Email 465,0,0,0,0,0,0,0,0
Email 466,0,0,0,0,0,0,0,0
Email 467,0,0,0,0,0,0,0,0
Email 468,0,0,0,0,0,0,0,0
Email 469,0,0,0,0,0,0,0,0
Email 470,0,0,0,0,0,0,0,0
Email 471,0,0,0,0,0,0,0,0
Email 472,0,0,0,0,0,0,0,0
Email 473,0,0,0,0,0,0,0,1
Email 474,0,0,0,0,0,0,0,0
Email 475,0,0,0,0,0,0,0,0
Email 476,0,0,0,0,0,0,0,0
Email 477,0,0,0,0,0,0,0,1
Email 478,2,0,0,0,0,0,0,0
Email 479,1,0,0,0,0,0,0,0
Email 480,0,0,0,0,0,0,0,1
Email 481,0,0,0,0,0,0,0,0
Email 482,1,0,0,0,0,0,0,0
Email 483,0,0,0,0,0,0,0,0
Email 484,1,0,0,0,0,0,0,1
Email 485,0,0,0,0,0,0,0,1
Email 486,0,0,0,0,0,0,0,0
Email 487,0,0,0,0,0,0,0,0
Email 488,0,0,0,0,0,0,0,0
Email 489,0,0,0,0,0,0,0,0
Email 490,0,0,0,0,0,0,0,0
Email 491,0,0,0,0,0,0,0,0
Email 492,0,0,0,0,0,0,0,1
Email 493,0,0,0,0,0,0,0,0
Email 494,0,0,0,0,0,0,0,0
Email 495,0,0,0,0,0,0,0,0
Email 496,0,0,0,0,0,0,0,1
Email 497,0,0,0,0,0,0,0,0
Email 498,0,0,0,0,0,0,0,0
Email 499,0,0,0,0,0,0,0,0
Email 500,0,0,0,1,0,0,0,0
Email 501,0,0,0,0,0,0,0,1
Email 502,0,0,0,0,0,0,0,0
Email 503,1,0,0,0,0,0,0,0
Email 504,0,0,0,0,0,0,0,0
Email 505,0,0,0,0,0,0,0,1
Email 506,0,0,0,0,0,0,0,0
Email 507,0,0,0,0,0,0,0,0
Email 508,0,0,0,0,0,0,0,0
Email 509,0,0,0,0,0,0,0,0
Email 510,0,0,0,0,0,0,0,0
Email 511,0,0,0,0,0,0,0,1
Email 512,0,0,0,0,0,0,0,1
Email 513,0,0,0,0,0,0,0,0
Email 514,0,0,0,0,0,0,0,0
Email 515,0,0,0,0,0,0,0,0
Email 516,2,0,0,0,0,0,0,0
Email 517,1,0,0,0,0,0,0,0
Email 518,0,0,0,0,0,0,0,0
Email 519,0,0,0,0,0,0,0,0
Email 520,1,0,0,0,0,0,0,1
Email 521,0,0,0,0,0,0,0,0
Email 522,0,0,0,0,0,0,0,0
Email 523,0,1,0,0,0,0,0,0
Email 524,0,0,0,0,0,0,0,0
Email 525,2,1,0,1,0,0,0,0
Email 526,0,0,0,0,0,0,0,0
Email 527,0,0,0,0,0,0,0,0
Email 528,0,0,0,0,0,0,0,1
Email 529,0,0,0,0,1,0,0,1
Email 530,0,0,0,0,0,0,0,0
Email 531,0,0,0,0,0,0,0,0
Email 532,0,0,0,0,0,0,0,0
Email 533,3,0,1,0,0,0,0,1
Email 534,0,0,0,0,0,0,0,0
Email 535,0,0,0,0,0,0,0,0
Email 536,0,0,0,0,0,0,0,0
Email 537,0,0,0,0,0,0,0,0
Email 538,0,0,0,0,0,0,0,1
Email 539,0,0,0,0,0,0,0,0
Email 540,0,0,0,0,0,0,0,0
Email 541,0,0,0,0,0,0,0,0
Email 542,0,0,0,0,0,2,0,1
Email 543,1,0,0,0,0,0,0,0
Email 544,0,0,0,0,0,0,0,1
Email 545,0,0,0,0,0,0,0,0
Email 546,0,0,0,0,0,0,0,0
Email 547,0,0,0,0,0,0,0,1
Email 548,0,0,0,0,0,0,0,0
Email 549,0,0,0,0,0,0,0,0
Email 550,0,3,0,0,0,0,0,0
Email 551,0,0,0,0,0,0,0,0
Email 552,0,0,0,0,0,0,0,0
Email 553,0,0,0,0,0,0,0,0
Email 554,0,0,0,0,0,0,0,0
Email 555,0,0,0,0,0,0,0,1
Email 556,0,0,0,0,0,0,0,0
Email 557,1,0,0,0,0,0,0,1
Email 558,0,0,0,0,0,0,0,0
Email 559,0,0,0,0,0,0,0,1
Email 560,0,0,0,0,0,0,0,0
Email 561,0,0,1,0,0,0,0,1
Email 562,0,0,0,0,0,0,0,0
Email 563,0,0,0,0,0,0,0,0
Email 564,0,0,0,0,0,0,0,0
Email 565,1,0,0,0,0,0,0,0
Email 566,0,0,0,0,0,0,0,0
Email 567,0,0,0,0,0,0,0,1
Email 568,0,0,0,0,0,0,0,0
Email 569,1,0,0,0,0,0,0,1
Email 570,0,0,0,0,0,0,0,0
Email 571,0,0,0,0,0,0,0,1
Email 572,0,0,0,0,0,0,0,0
Email 573,0,0,0,0,0,0,0,0
Email 574,0,0,0,0,0,0,0,1
Email 575,0,0,0,0,0,0,0,1
Email 576,0,0,0,0,0,0,0,0
Email 577,0,0,0,0,0,0,0,1
Email 578,0,0,0,0,0,0,0,1
Email 579,2,0,0,0,0,0,0,0
Email 580,0,0,0,0,0,0,0,1
Email 581,3,0,0,0,0,0,0,0
Email 582,1,0,0,0,0,1,0,1
Email 583,0,0,0,0,0,0,0,0
Email 584,0,0,0,0,0,0,0,0
Email 585,0,0,0,0,0,0,0,1
Email 586,0,0,0,0,0,0,0,0
Email 587,1,0,0,0,0,0,0,0
Email 588,0,0,0,0,0,0,0,1
Email 589,0,0,0,0,0,0,0,1
Email 590,0,0,0,0,0,0,0,0
Email 591,0,0,0,0,0,0,0,0
Email 592,0,0,0,0,0,0,0,0
Email 593,1,0,0,0,0,0,0,0
Email 594,0,0,0,0,0,0,0,0
Email 595,2,0,0,0,0,0,0,1
Email 596,0,0,0,0,0,0,0,1
Email 597,0,0,0,0,0,0,0,0
Email 598,0,0,0,0,0,0,0,1
Email 599,2,0,1,0,0,0,0,0
Email 600,1,0,0,0,0,0,0,0
Email 601,0,0,0,0,0,0,0,0
Email 602,1,0,0,0,0,0,0,0
Email 603,0,0,0,0,0,0,0,0
Email 604,1,0,0,0,0,0,0,0
Email 605,0,0,0,0,0,0,0,0
Email 606,0,0,0,0,0,0,0,0
Email 607,0,0,0,0,0,0,0,0
Email 608,0,0,0,0,0,0,0,0
Email 609,0,0,0,0,0,0,0,0
Email 610,0,0,0,0,0,0,0,0
Email 611,0,0,0,0,0,0,0,0
Email 612,0,0,0,0,0,0,0,1
Email 613,0,0,0,0,0,0,0,0
Email 614,0,0,0,0,0,0,0,0
Email 615,0,0,0,0,0,0,0,1
Email 616,0,0,0,0,0,0,0,0
Email 617,0,0,0,0,0,0,0,0
Email 618,0,0,0,0,0,0,0,0
Email 619,0,0,0,0,0,0,0,0
Email 620,0,0,0,0,0,0,0,0
Email 621,0,0,0,0,0,0,0,1
Email 622,0,0,0,0,0,0,0,1
Email 623,0,0,0,0,0,0,0,0
Email 624,0,0,0,0,0,0,0,0
Email 625,0,0,0,0,0,0,0,1
Email 626,0,0,0,0,0,0,0,1
Email 627,1,0,0,0,0,0,0,0
Email 628,1,0,0,0,0,0,0,0
Email 629,0,0,0,0,0,0,0,0
Email 630,0,0,0,0,0,0,0,1
Email 631,0,0,0,0,0,0,0,0
Email 632,0,0,0,0,0,0,0,0
Email 633,0,0,0,0,0,0,0,0
Email 634,0,0,0,0,0,0,0,1
Email 635,0,1,0,0,0,0,0,0
Email 636,0,0,0,0,0,0,0,0
Email 637,2,0,0,0,0,0,0,0
Email 638,0,0,1,0,0,0,1,0
Email 639,1,0,0,0,0,0,0,0
Email 640,0,0,0,0,0,0,0,1
Email 641,0,0,0,0,0,0,0,0
Email 642,0,0,0,0,0,0,0,0
Email 643,0,0,0,0,0,0,0,0
Email 644,0,0,0,0,0,0,0,1
Email 645,0,0,0,0,0,0,0,0
Email 646,0,0,0,0,0,0,0,0
Email 647,0,0,0,0,0,0,0,1
Email 648,0,0,0,0,0,0,0,0
Email 649,0,0,0,0,0,0,0,0
Email 650,0,0,0,0,0,0,0,0
Email 651,1,3,0,0,0,0,0,1
Email 652,0,1,0,0,0,0,0,0
Email 653,0,0,0,0,0,0,0,0
Email 654,0,0,0,0,0,0,0,0
Email 655,1,1,0,0,0,0,0,0
Email 656,0,0,0,0,0,0,0,0
Email 657,0,0,0,0,0,0,0,1
Email 658,1,0,0,1,0,0,0,1
Email 659,0,0,0,0,0,0,0,0
Email 660,0,0,0,0,0,0,0,1
Email 661,0,1,0,0,0,0,0,1
Email 662,1,0,0,0,0,0,0,0
Email 663,0,0,0,0,0,0,0,1
